Title,Authors,ISBN,Date Finished,Star Rating,Review,Status
Triggers: Creating Behavior That Lasts--Becoming the Person You Want to Be,"Marshall Goldsmith, Mark Reiter",9780804141239,2018-04-12 00:00,4,"I heard about this book from episode 66 of the Cortex podcast (https://www.relay.fm/cortex/66). I was listening along thinking this was another typical business book that they recommend, but my ears perked when they got talking about these journalling type questions the author asks of himself and his clients. That alone had me intrigued, and I liked a good bit of what the author had to say on the topic, the examples were very real life",Read
Homo Deus: A Brief History of Tomorrow,Yuval Noah Harari,9780062464347,2018-03-29 00:00,4,,Read
Chasing Francis: A Pilgrim's Tale,Ian Morgan Cron,9781576838129,2018-03-21 00:00,5,,Read
Saga Book Two,"Fiona Staples (Artist), Brian K. Vaughan",9781632159038,2018-03-17 00:00,5,,Read
The Old Man and The Sea,Ernest Hemingway,9786144134030,2018-03-15 00:00,5,,Read
Designing for Emotion: Second Edition,Aarron Walter,9781952616495,2018-03-15 00:00,4,,Read
Mistborn: The Final Empire,Brandon Sanderson,9780765311788,2018-03-15 00:00,4,,Read
Saga,"Fiona Staples (Artist, Cover Design by), Brian K. Vaughan (Artist)",9781632150783,2018-03-12 00:00,5,,Read
Binti,Nnedi Okorafor,9780765384461,2018-03-07 00:00,5,,Read
A Wrinkle in Time,Madeleine L'Engle,9780374386153,2018-03-05 00:00,5,,Read
Moon Girl and Devil Dinosaur Vol. 1: Bff,"Natacha Bustos (Illustrator), Amy Reeder (Text by), Brandon Montclare (Text by)",9781302900052,2018-03-02 00:00,4,,Read
Moon Girl and Devil Dinosaur Vol. 2: Cosmic Cooties,"Marco Failla (Illustrator), Natacha Bustos (Illustrator), Brandon Montclare (Text by), Amy Reeder (Text by)",9781302902087,2018-03-02 00:00,4,,Read
I'm Still Here: Black Dignity in a World Made for Whiteness,Austin Channing Brown,9781524760854,2018-02-28 00:00,5,,Read
Reading People: How Seeing the World Through the Lens of Personality Changes Everything,Anne Bogel,9780801072918,2018-02-28 00:00,5,,Read
Nimona,Noelle Stevenson,9781484455012,2018-02-24 00:00,5,<strong>Wonderful and fun story</strong><br/><br/>I fell in love with these characters. For such a short and simple story to have such depth was lovely and welcoming.,Read
Mortal Engines,Philip Reeve,9780060082093,2018-02-17 00:00,3,,Read
What Every Christian Needs to Know about the Jewishness of Jesus: A New Way of Seeing the Most Influential Rabbi in History,Evan Moffic,9781426791581,2018-01-08 00:00,5,,Read
Stories of Your Life and Others,Ted Chiang,9781101972120,2018-01-06 00:00,5,Each story was a page turner for me. Ted Chiang immerses you into each story quickly that they feel like looking into another world that is strangely familiar.,Read
Cloud Atlas: A Novel,David Mitchell,9780375507250,2017-12-23 00:00,4,,Read
"Wild Ones: A Sometimes Dismaying, Weirdly Reassuring Story about Looking at People Looking at Animals in America",Jon Mooallem,9781594204425,2017-12-18 00:00,4,"When I started this book, I took it as being in the vein of [a:Elizabeth Kolbert|45840|Elizabeth Kolbert|https://images.gr-assets.com/authors/1380812913p2/45840.jpg]’s [b:The Sixth Extinction|17910054|The Sixth Extinction  An Unnatural History|Elizabeth Kolbert|https://images.gr-assets.com/books/1372677697s/17910054.jpg|25095506] and [b:Field Notes from a Catastrophe|80513|Field Notes from a Catastrophe  Man, Nature, and Climate Change|",Read
A Clash of Kings,George R. R. Martin,9780007548248,2017-11-26 00:00,4,,Read
A Game of Thrones,George R. R. Martin,9780553588484,2017-09-18 00:00,5,,Read
The Revenge of Analog: Real Things and Why They Matter,David Sax,9781610395717,2017-08-24 00:00,3,,Read
1491: New Revelations of the Americas Before Columbus,Charles C. Mann,9781439562659,2017-08-20 00:00,4,,Read
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,9781455586677,2017-08-20 00:00,4,,Read
The Girl with All the Gifts,M. R. Carey,9780316278140,2017-08-17 00:00,5,,Read
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,"Shana Knizhnik, Irin Carmon",9780062415820,2017-08-14 00:00,4,,Read
Harry Potter and the Sorcerer's Stone,J. K. Rowling,9781338596700,2017-08-09 00:00,4,,Read
The Road Back to You: An Enneagram Journey to Self-Discovery,"Ian Morgan Cron, Suzanne Stabile",9780830846191,2017-07-31 00:00,4,,Read
"The Disaster Artist: My Life Inside the Room, the Greatest Bad Movie Ever Made","Tom Bissell, Greg Sestero",9781451661194,2017-07-31 00:00,4,"I have not seen The Room yet, but after reading Greg’s account of its production I hope to rectify that soon. The Room is considered The Citizen Kane of bad movies, another movie I have yet to see, and I've seen plenty of YouTube clips to understand why. Sestero’s account presents the heart and mind of the man behind the film, well as best as he can at least. Moreover, this is a story of an unlikely and difficult friendship.",Read
Sapiens: A Brief History of Humankind,Yuval Noah Harari,9780062316110,2017-07-31 00:00,4,,Read
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",Malcolm Gladwell,9780316204378,2017-07-07 00:00,5,,Read
"The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution",Walter Isaacson,9781476708690,2017-07-07 00:00,4,Fascinating history of computer technology from Ada Lovelace up the modern era.,Read
What the Dog Saw: And Other Adventures,Malcolm Gladwell,9780316078573,2017-07-07 00:00,5,,Read
Outliers: The Story of Success,Malcolm Gladwell,9780316056281,2017-07-07 00:00,5,,Read
The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,9780316346627,2017-07-07 00:00,5,,Read
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,9780062872258,2017-07-01 00:00,5,"J.D. Vance is a year younger than me and we grew up in the same area of Ohio. We both have Appalachian family as well. Many things sounded familiar, not from personal experience, but from observing and living amongst many of the same folks. I found this book to be a wonder reminder of who many of my neighbors are, and what there story looks like.",Read
American Gods,Neil Gaiman,9780755379927,2017-05-23 00:00,3,,Read
Finding God in the Waves: How I Lost My Faith and Found It Again Through Science,Mike McHargue,9781101906040,2017-01-28 00:00,5,,Read
The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,9781250062185,2016-06-20 00:00,4,,Read
The Martian,Andy Weir,9781101905005,2016-01-23 00:00,4,,Read
"A Year of Biblical Womanhood: How a Liberated Woman Found Herself Sitting on Her Roof, Covering Her Head, and Calling Her Husband Master",Rachel Held Evans,9781595553676,2016-01-18 00:00,5,,Read
The Devil Wears Nada: Satan Exposed,Tripp York,9781621890485,2016-01-18 00:00,4,,Read
Doppelganger: A Trip Into the Mirror World,Naomi Klein,9780374610326,,,,Archive
Thinking in Systems,Donella H. Meadows,,,,,In Progress
How to Do Nothing,Jenny Odell,9781612198552,,,,TBR
Do The Work,Megan Pillow and Roxane Gay,9780711268968,,,,TBR
